Tweet_ID,Tweet_Text,sentiment
1150237798269628416,RT @AnnInquirer: VOTE NO S386 @senatemajldr 202-224-2541/2499fax @McConnell @SenateGOP @RandPaul  🇺🇸Plz use meme 4 trains @sekusa1 @KyManIn…,1
1150237746193227776,"RT @GoJackFlynn: Thread by @SidneyPowell1: ""Here's how to end the border crisis: 1. @realDonaldTrump enters an executive order under 8 USC…",1
1150237499006103553,@glenmary @bsrichey62 @SenatorDurbin 8 USC. Congress passed it  Trump ordered it enforced. Not too hard  really.,0
1150237419804880896,RT @CrimeADay: 50 USC §797(a)(1) makes it a federal crime to violate a posted defense property security regulation  even if you're just try…,1
1150237235251257346,No power in Sri Nagar colony Kapra @TsspdclCorporat @detcmd since 2 hours. Please check this on priority .USC NUMBER 10186255 10186272,1
1150237183099453440,Wait  there's a Home Run Derby curse   Never woulda known. #ChopOn https://t.co/n2UqiR8LXL,1
1150237054258823168,@SNetibutr @SenatorDurbin @ToddKolod A good read of 8 USC would work wonders.,1
1150236772829319169,@heyitsCarolyn @uriathehitite @Sekusa1 @GodFirstGina @MarshaPatriot @alley167 @dahwg @Serremmy @Razorsmack1… https://t.co/3NkmMZnLWI,1
1150236651937062912,@_katelizabethh Ma’am  when you enter the country illegally  you’re in violation of USC 13-25. We are a nation with… https://t.co/TVcNn9VV3m,0
1150236376383836160,RT @Want_Pride_Back: @ANGELACHARPENT1 @JairoEVera1 @EricJoh37288055 @Want_Pride_Back @Sissy4Trump @11ForTexas @AsiaTaterTat @CSteven @Whack…,1
1150236308054380544,@Mrryan69 @JanetMafGalea @chiproytx @ICEgov It's called US Law... https://t.co/zqLEaCJPHF,1
1150236206178766848,RT @GirardSharp: We are investigating potential claims on behalf of women who were treated by UCLA gynecologist Dr. James Heaps.   Were you…,1
1150236093419331585,"@repjohnlewis There is such thing as an ""illegal alien"" read the laws that you passed again.… https://t.co/4zDcpjgJqA",0
1150235850338394117,RT @RedHoss44: I'm sure that the Department of Justice knows these laws exist because this is coming from their website. Why aren't they en…,1
1150235813868761088,@woolfhound @biggameathlete @RepMcGovern @Oteachjohn Its legal to cross at any point of the border  point of entry… https://t.co/DJLQHyY2Qp,1
1150235758839652352,@RepAdamSchiff Do we ignore this  🤔 You are violating THIS code by supporting illegal immigration  https://t.co/XXHsqSehoN,0
1150235670033698818,@VP Map: Sanctuary Cities  Counties  and States ..  Mayors  Governors and Congressmen ...  Who Knowingly Harbor and… https://t.co/UuWzhBseKR,1
1150235613511032832,I just got a usc shirt in the mail and I’m feeling more and more like a Trojan #fighton https://t.co/i6tmJnLAvV,1
1150235550361587713,@TsspdclCorporat What is wrong with your bill desk. I paid the bill  it was debited from my account but no message… https://t.co/jtmRDnEhAk,0
1150235086521901056,@SpeakerPelosi @realDonaldTrump You might want to read this Nancy https://t.co/EG1Jd7TtkK,1
1150234952182763521,RT @Bill73452075: @CarpeDonktum @CynthiaRunnels1 Destruction on Federal Building &amp; They got away with it  How's that One-Way Aircraft-Яide…,1
1150234951440306183,@KNP2BP @LisaSmith4680 Map: Sanctuary Cities  Counties  and States ..  Mayors  Governors and Congressmen ...  Who K… https://t.co/nhdAmFxb3V,1
1150234918108237824,RT @StonehillBirch: Americans  report government  commercial  and religious organizations who hire  incentivize  and conspire to abet known…,1
1150234696640430080,RT @chichisup: i’m gonna post resources of what to do when you’re confronted with ICE  border patrols  etc.   https://t.co/kJWAAKK3Cp  http…,1
1150234583272701952,Watching USC 2019 right now and Ohio is beating that vagina right now. This is epic,1
1150234458001424385,RT @InsideUSC: #USC still has black cleats and no names on its uniforms . . . For now,0
1150234342196748288,"RT @GoJackFlynn: Thread by @SidneyPowell1: ""Here's how to end the border crisis: 1. @realDonaldTrump enters an executive order under 8 USC…",1
1150234046124814336,RT @SportsPac12: Most Yards per Play in Last 10 Years  1. Alabama  6.7     Oklahoma  6.7     Oregon  6.7 4. Baylor  6.6 5. Oklahoma State …,1
1150233927350652929,Studies on health benefits/risks of dietary intake should really be taken in context with LOTS of other factors. https://t.co/O63VMbinnp,1
1150233868919689216,Flipping tires - building in #offseason #football #highschoolfootball #CollegeFootball #workout #NCAA #USC #NFL… https://t.co/O7ZH6Ul8bK,1
1150233635502661632,HTH he got USC @ 9. Lol https://t.co/gSHJOp5vlZ,1
1150233601293934593,https://t.co/kdmxlj2CYT tikas usc pag thursday ba  cute man diay kas personal oy 😍 —  https://t.co/3UDzAfGP0M,1
1150233582633402368,"RT @GoJackFlynn: Thread by @SidneyPowell1: ""Here's how to end the border crisis: 1. @realDonaldTrump enters an executive order under 8 USC…",1
1150233246439038976,@Go_USC_Gamecock @AnnaRADM @Sekusa1 @heyitsCarolyn @MarshaPatriot @GodFirstGina @Lexa_Merica @ROHLL5 @WomenForKAG… https://t.co/ZgwP6sTDXq,1
1150233163437756416,RT @seanthakur: USC Executive Chamber 1920: Complete Edition 🤪🎉✨  Sobrang power niyo sa lahat ng preparations and meetings for plansem. Tha…,1
1150233039244414976,RT @seanthakur: ✅ Plansem. Ang productive at ang saya  anlala niyo!  Really excited for all the USC Committees and Adhocs this sem. Tuloy-t…,1
1150233000359202817,RT @TDT_Hoops: Triple Double Tarheels will take on the Gulf Coast Athletes in the 17u championship at 11:15 tomorrow morning @ USC Aiken Co…,1
1150232919446712320,@RyanAFournier That would be Title 8 usc 1324(a). All felonies. #LockThemUp https://t.co/3Ffwyc4WUl,1
1150232861510909955,@elasoniam @greenbunny7 @WSJ I wonder why Democrats support violating immigration laws  USC.1324 AND USC.1325 Pleas… https://t.co/3IHPrsBCiZ,1
1150232800915685377,Check out Reyn Spooner USC Trojan Hawaiian Reverse Print Cotton SS Shirt S Small NCAA #ReynSpooner #trojans #usc… https://t.co/o6ujJspUCa,0
1150232595705335809,"RT @GoJackFlynn: Thread by @SidneyPowell1: ""Here's how to end the border crisis: 1. @realDonaldTrump enters an executive order under 8 USC…",1
